model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB08b_BDA_CARD_LogReg,3,65119,1695,0.6448742963961793,Dmytrivka|Hostomel|Kramatorsk|Lysychansk|Makariv|Volnovakha,6
NB08b_BDA_CARD_LogReg,4,62750,3091,0.6486963174169271,Avdiivka|Irpin|Kherson|Mariupol|Moschun|Okhtyrka,6
NB08b_BDA_COH_DROP+CARD_LogReg,0,24902,933,0.7013016589801127,Lysychansk,1
NB08b_BDA_COH_DROP+CARD_LogReg,1,26461,2781,0.610817196140315,Avdiivka|Mariupol,2
NB08b_BDA_COH_DROP+CARD_LogReg,2,26241,213,0.6085555389609312,Borodyanka|Okhtyrka|Volnovakha,3
NB08b_BDA_COH_DROP+CARD_LogReg,3,29003,1079,0.7215147987407632,Dmytrivka|Hostomel|Sievierodonetsk,3
NB08b_BDA_COH_DROP+CARD_LogReg,4,24182,421,0.6602734615426524,Bucha|Irpin|Moschun,3
NB08b_BDA_COH_DROP+CARD_AdaBoost,0,24902,933,0.6973588875985178,Lysychansk,1
NB08b_BDA_COH_DROP+CARD_AdaBoost,1,26461,2781,0.6533334684806165,Avdiivka|Mariupol,2
NB08b_BDA_COH_DROP+CARD_AdaBoost,2,26241,213,0.6319324043229719,Borodyanka|Okhtyrka|Volnovakha,3
NB08b_BDA_COH_DROP+CARD_AdaBoost,3,29003,1079,0.7305652480006967,Dmytrivka|Hostomel|Sievierodonetsk,3
NB08b_BDA_COH_DROP+CARD_AdaBoost,4,24182,421,0.6745389883680327,Bucha|Irpin|Moschun,3
NB08b_xBD_RGB_LightGBM,0,14351,5286,0.5964415155269703,hurricane-michael|sunda-tsunami|woolsey-fire,3
NB08b_xBD_RGB_LightGBM,1,14047,2203,0.74515183234676,hurricane-florence|lower-puna-volcano|pinery-bushfire|portugal-wildfire,4
NB08b_xBD_RGB_LightGBM,2,14041,2855,0.7970887427147332,guatemala-volcano|moore-tornado|socal-fire|tuscaloosa-tornado,4
NB08b_xBD_RGB_LightGBM,3,14117,7066,0.6266251687043526,hurricane-matthew|mexico-earthquake|nepal-flooding|santa-rosa-wildfire,4
NB08b_xBD_RGB_LightGBM,4,14375,5149,0.6810943908382573,hurricane-harvey|joplin-tornado|midwest-flooding|palu-tsunami,4
NB08b_BDA_CARD_LightGBM,0,110650,225,0.63266333610042,Kharkiv,1
NB08b_BDA_CARD_LightGBM,1,64984,628,0.9046902297649264,Borodyanka|Mykolaiv|Sievierodonetsk,3
