model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,2,107068,1628,0.7387059736571308,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,3,103628,1947,0.6149269657388018,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,4,104753,3435,0.7769261166931919,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,0,170104,238,0.8101918966873245,Kharkiv,1
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,1,75995,575,0.6152853585140604,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,2,76892,1371,0.6459584941527173,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,3,78593,3759,0.7136345381573217,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,4,78729,1243,0.805490775703722,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,0,170104,238,0.6691755770514911,Kharkiv,1
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,1,66838,392,0.5352702393903412,Chernihiv|Kherson|Makariv,3
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,2,66366,1581,0.584363488690295,Chornobaivka|Lysychansk|Moschun|Rubizhne,4
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,3,67776,3836,0.6174144580604275,Avdiivka|Bucha|Mariupol|Sievierodonetsk,4
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,4,67801,727,0.712943594828172,Hostomel|Okhtyrka|Trostianets|Volnovakha,4
R5_ExtraTrees_dietrich28,0,170104,238,0.7130056519093103,Kharkiv,1
R5_ExtraTrees_dietrich28,1,113042,84,0.6079690702570447,Mykolaiv,1
R5_ExtraTrees_dietrich28,2,107068,1628,0.7093505383314753,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
R5_ExtraTrees_dietrich28,3,103628,1947,0.6662263463151551,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
R5_ExtraTrees_dietrich28,4,104753,3435,0.7112112229806778,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,0,170104,238,0.7831634985243434,Kharkiv,1
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,1,75995,575,0.6203795671774295,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,2,76892,1371,0.6490771459889559,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,3,78593,3759,0.7142332669084019,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,4,78729,1243,0.8027691982413807,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
B5_sub_GBM,0,170104,238,0.71025113270203,Kharkiv,1
B5_sub_GBM,1,75995,575,0.6886523814465082,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
B5_sub_GBM,2,76892,1371,0.7461823840381523,Avdiivka|Bucha|Lysychansk|Makariv,4
B5_sub_GBM,3,78593,3759,0.7560733483477128,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
B5_sub_GBM,4,78729,1243,0.8123541233379632,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
R5_XGBoost_all_multimodal,0,170104,238,0.6898112817943396,Kharkiv,1
R5_XGBoost_all_multimodal,1,75995,575,0.5973663542135058,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
R5_XGBoost_all_multimodal,2,76892,1371,0.6694488037396353,Avdiivka|Bucha|Lysychansk|Makariv,4
R5_XGBoost_all_multimodal,3,78593,3759,0.7125197572169365,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
