model_id,modality,modality_family,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
CLF_F7_XGBoost,multimodal_all,multimodal,5,0.6461,0.1158,0.1792,0.4689,0.7738,0.3048
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.6434,0.1647,0.2559,0.3935,0.8282,0.4347
NB08b_BDA_COH_DROP+CARD_LightGBM,SAR_coh_unsupervised,SAR,5,0.6433,0.0575,0.0894,0.5644,0.7119,0.1476
NB08b_xBD_RGB_LogReg,MS_only,MS,5,0.6426,0.0846,0.1317,0.5553,0.7447,0.1895
R5_LightGBM_all_multimodal,multimodal_all,multimodal,5,0.6406,0.0947,0.1479,0.5317,0.768,0.2363
NB08b_BDA_COH_DROP_LogReg,SAR_coh_unsupervised,SAR,5,0.64,0.0876,0.1369,0.5387,0.7268,0.1881
R3_card_block_stats_A15,other,other,5,0.6378,0.1371,0.215,0.4431,0.8188,0.3757
NB08b_BDA_COH_DROP_ExtraTrees,SAR_coh_unsupervised,SAR,5,0.6377,0.0726,0.1138,0.5389,0.7212,0.1823
B5_sub_XGB,multimodal_all,multimodal,5,0.6371,0.111,0.1742,0.4803,0.7898,0.3095
R0c_roll3_assessment_only,other,other,5,0.6336,0.1427,0.2252,0.5,0.8348,0.3348
CLF_A17_LightGBM,multimodal_all,multimodal,5,0.6311,0.1423,0.2254,0.3795,0.7236,0.3441
NB08b_BDA_CARD_RF-200,other,other,5,0.6297,0.0416,0.0661,0.5578,0.662,0.1043
E2_LightGBM_card,SAR_card_only,SAR,5,0.6289,0.1285,0.2043,0.5043,0.8164,0.3121
B7_UISEM_ms_only,MS_only,MS,5,0.6287,0.1186,0.1887,0.4908,0.7744,0.2836
R3_ms_only_A9,MS_only,MS,5,0.6241,0.0927,0.1485,0.4685,0.7056,0.2371
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,other,other,5,0.6238,0.0697,0.1117,0.5353,0.7129,0.1777
NB08b_BDA_COH_DROP_RF-200,SAR_coh_unsupervised,SAR,5,0.6217,0.069,0.111,0.5518,0.7057,0.1539
E2_LightGBM_all,multimodal_all,multimodal,5,0.621,0.115,0.1852,0.511,0.7956,0.2846
E1_base_LGBM,multimodal_all,multimodal,5,0.621,0.115,0.1852,0.511,0.7956,0.2846
NB08b_BDA_COH_DROP_GBM,SAR_coh_unsupervised,SAR,5,0.6183,0.0997,0.1612,0.5019,0.7344,0.2325
R2_roll3,other,other,5,0.6167,0.0678,0.1099,0.5522,0.7268,0.1745
NB08b_BDA_COH_DROP_UISEM_voting,SAR_coh_unsupervised,SAR,5,0.6167,0.0907,0.1471,0.5003,0.7115,0.2112
E6_B_nativeNaN_all_multimodal,multimodal_all,multimodal,5,0.6163,0.1184,0.1922,0.4938,0.79,0.2963
E5_LightGBM_native_NaN,other,other,5,0.6163,0.1184,0.1922,0.4938,0.79,0.2963
