model_id,variant_id,n,n_damaged,auc,n_cities,n_folds,TP,FN,FP,TN,is_leaky,is_degenerate
B0_single_s1_vv_min,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.6007,21,1,4568,2764,294730,296533,False,False
NB08b_BDA_CARD_GBM,dataset=BDA;feature_set=CARD;classifier=GBM,368288,6431,0.6002,21,5,30,6401,2505,359352,False,False
L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,62043,8080,0.5995,19,1,5202,2878,25820,28143,False,False
NB08b_BDA_CARD_AdaBoost,dataset=BDA;feature_set=CARD;classifier=AdaBoost,368288,6431,0.5959,21,5,0,6431,0,361857,False,False
NB08b_BRIGHT_all_LightGBM,dataset=BRIGHT;feature_set=all;classifier=LightGBM,92423,14126,0.592,14,5,7845,6281,32729,45568,False,False
B3_logratio_BSI,unsupervised_logratio;sensor=optical;label=BSI;direction=|logratio|,3533,407,0.5887,5,1,257,150,1510,1616,False,False
B4_step3_card+coh+optical,unsupervised_combined;step=step3_card+coh+optical;n_scores=8,1186,93,0.5877,1,1,60,33,534,559,False,False
L2b_lu_implausible_damage,plausibility_standalone;signal=lu_implausible_damage;higher_is_damage=False,480313,7186,0.5853,19,1,4832,2354,237423,235704,False,False
D1j_dynamic_groupkfold,groupkfold_cv,293116,29543,0.5846,21,5,8138,21405,56901,206672,False,False
NB08b_BRIGHT_all_ExtraTrees,dataset=BRIGHT;feature_set=all;classifier=ExtraTrees,92423,14126,0.5842,14,5,6650,7476,24829,53468,False,False
E7_KNN_15,non_tree;classifier=KNN_15;features=all_multimodal,62043,8080,0.5801,19,5,123,7957,292,53671,False,False
E7b_QDA,discriminant;classifier=QDA,62043,8080,0.5765,19,5,2051,6029,9114,44849,False,False
B0_single_s1_vh_max,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.5754,21,1,5025,2307,294273,296990,False,False
B4_step4_all+methods,unsupervised_combined;step=step4_all+methods;n_scores=18,1186,93,0.5738,1,1,54,39,540,553,False,False
ABL_ROLLING_SAR_COH,scenario=ROLLING_SAR;sensor=COH;parquet=A17,598595,7332,0.5737,21,5,1805,5527,90275,500988,False,False
B0_single_s1_vv_kurtosis,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5723,21,1,5148,2184,293750,297513,False,False
B0_single_s1_vh_skewness,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5717,21,1,4466,2866,271171,320092,False,False
R4_tier1_ms,nb09a;cell=R4,18513,2214,0.5709,10,5,87,2127,473,15826,False,False
NB08b_BDA_COH_DROP+RGB+CARD_UISEM_voting,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=UISEM_voting,205942,6144,0.5668,12,5,25,6119,49,199749,False,False
B0_single_s1_vv_max,unsupervised_change;source=bda_block_stats_v2;direction=|change|,598595,7332,0.5659,21,1,4613,2719,265357,325906,False,False
CLF_A9_ExtraTrees,classifier=ExtraTrees;parquet=A9,480313,7186,0.5648,19,5,178,7008,19112,454015,False,False
E7_KNN_5,non_tree;classifier=KNN_5;features=all_multimodal,62043,8080,0.5645,19,5,416,7664,1549,52414,False,False
