experiment,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
NB08b_BDA_COH_DROP+CARD_LightGBM,12,0.6290941249876492,0.6832644391870466,0.6565201227092794,0.08464214238014,-0.0274259977216302
C_F1_fusion_ms_card,19,0.6446944372225707,0.6293387316673799,0.656399914663998,0.0930907188729985,-0.0117054774414273
C10_leaky_F1_fusion_ms_card,19,0.6446944372225707,0.6293387316673799,0.656399914663998,0.0930907188729985,-0.0117054774414273
C10_leaky_A5_scene_indices,19,0.6421081285435216,0.6551449735203126,0.655771525448389,0.083828044681314,-0.0136633969048673
C_A5_scene_indices,19,0.6421081285435216,0.6551449735203126,0.655771525448389,0.083828044681314,-0.0136633969048673
C_F5_fusion_indices_card,19,0.6432815099931876,0.6489494044335292,0.6556294191126508,0.0974491613642758,-0.0123479091194632
C10_leaky_F5_fusion_indices_card,19,0.6432815099931876,0.6489494044335292,0.6556294191126508,0.0974491613642758,-0.0123479091194632
E2_LightGBM_ms,15,0.6199677068320102,0.6199677068320102,0.6545833900519659,0.1855054385541772,-0.0346156832199556
B7_UISEM_ms_only,19,0.6465070515863178,0.6399040349812994,0.6530686703400196,0.0963633886575701,-0.0065616187537017
R3b_ms_only,19,0.6514700735542487,0.6451269245628307,0.6527626697215252,0.0870931782359624,-0.0012925961672765
NB08b_BDA_CARD_UISEM_voting,21,0.5603568976989485,0.61115365908463,0.6526578918080483,0.1299741377707427,-0.0923009941090998
D1c_post_composite,19,0.6232245145784708,0.6179032996742411,0.6525204932694489,0.1488804834242238,-0.0292959786909781
CLF_F7_XGBoost,19,0.7551786404203917,0.7561686851999374,0.6524285243704422,0.1519402787200949,0.1027501160499495
NB08b_BDA_CARD_GBM,21,0.6001921624963049,0.6519763789090351,0.6508804055842381,0.1087679325027762,-0.0506882430879331
NB08b_BDA_COH_DROP+RGB_RF-200,12,0.6277056831794644,0.7107000392392457,0.6504274717383643,0.1006275533922866,-0.0227217885588999
CLF_A9_XGBoost,19,0.6273553165793578,0.6874333651593869,0.6500161599107942,0.1594314481229236,-0.0226608433314363
R5_GBM_all_multimodal,19,0.6321186060195628,0.6109559402556147,0.6485330140520936,0.0756501633153421,-0.0164144080325308
B5_sub_XGB,19,0.602301184823558,0.597673062739392,0.6478104396520763,0.1176935431094978,-0.0455092548285183
C10_leaky_F8_fusion_composite_blockstats,19,0.6280749571167483,0.6003021372819088,0.6468860152468882,0.0839780148685847,-0.0188110581301398
C_A1_scene_ms,19,0.6347235926963525,0.63843591952172,0.6448259487912642,0.1080683974028463,-0.0101023560949117
C10_leaky_A1_scene_ms,19,0.6347235926963525,0.63843591952172,0.6448259487912642,0.1080683974028463,-0.0101023560949117
