city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Bucha,s2__composite__ndwi__winter_baseline,0.5302185454647603,0.5302185454647603,higher=damaged,151002.0,0.17074978033861832,-0.06269889,-0.07167633,1662
Bucha,s2__composite__mndwi__delta,0.5275709991853704,0.5275709991853704,higher=damaged,150248.0,0.2113802680536142,-0.34628618,-0.35448503,1662
Bucha,s2__composite__b11__delta,0.5220441585437794,0.5220441585437794,higher=damaged,148674.0,0.31768120818017487,0.021650221,0.018602805,1662
Bucha,s2__composite__b8a__delta,0.4781524761931515,0.5218475238068485,lower=damaged,136174.0,0.32201755184334935,-0.13321538,-0.12398371,1662
Bucha,s2__composite__b04__delta,0.47842284895643133,0.5215771510435687,lower=damaged,136251.0,0.32804280236312877,-0.15020561,-0.13349208,1662
Bucha,s2__qa__cloud_freq__prebattle,0.521542037697688,0.521542037697688,higher=damaged,148531.0,0.00364434679954751,0.0050269137,0.0024909761,1662
Bucha,s2__composite__b12__delta,0.5214156296525183,0.5214156296525183,higher=damaged,148495.0,0.3316769760199406,0.0038278084,0.00046689797,1662
Bucha,s2__composite__b07__delta,0.47913213854321757,0.5208678614567824,lower=damaged,136453.0,0.34419451304898374,-0.13883577,-0.12851518,1662
Bucha,s2__visibility__clear__freq__crossbattle,0.5198197280822494,0.5198197280822494,higher=damaged,148040.5,0.029928303416587636,0.9871134,0.96696186,1662
Bucha,s2__composite__ndbi__prebattle_baseline,0.48025225427680557,0.5197477457231945,lower=damaged,136772.0,0.37071628243742594,-0.26597384,-0.25263736,1662
Bucha,s2__composite__ndbi__winter_baseline,0.48025225427680557,0.5197477457231945,lower=damaged,136772.0,0.37071628243742594,-0.26597384,-0.25263736,1662
Bucha,s2__composite__ndbi__delta,0.5192596702154555,0.5192596702154555,higher=damaged,147881.0,0.3826593469480134,0.30709392,0.2909375,1662
Bucha,s2__composite__ndbi__post_winter_baseline,0.5179534537487008,0.5179534537487008,higher=damaged,147509.0,0.4157635683486858,0.041120064,0.03830013,1662
Bucha,s2__visibility__cloud__freq__postbattle,0.5169228770471082,0.5169228770471082,higher=damaged,147215.5,0.34500329898088633,0.1659794,0.15722072,1662
Bucha,s2__qa__cloud_freq__postbattle,0.5155955925728251,0.5155955925728251,higher=damaged,146837.5,0.3933936773974869,0.18586622,0.17673147,1662
Bucha,s2__visibility__fire__freq__crossbattle,0.4866095255484704,0.5133904744515296,lower=damaged,138582.5,0.07066811738644475,0.0077319588,0.021457765,1662
Bucha,s2__visibility__clear__freq__postbattle,0.4887215933031826,0.5112784066968175,lower=damaged,139184.0,0.536616134341857,0.829897,0.834605,1662
Bucha,s2__composite__b03__delta,0.4889498300514059,0.5110501699485941,lower=damaged,139249.0,0.6164761531250738,-0.14780931,-0.13512042,1662
Bucha,s2__composite__b05__delta,0.4904737492626198,0.5095262507373802,lower=damaged,139683.0,0.6659101095252398,-0.14724225,-0.13823462,1662
Bucha,s2__visibility__cloud__freq__prebattle,0.5089890165454086,0.5089890165454086,higher=damaged,144956.0,0.3777755813170913,0.017182132,0.013851045,1662
Bucha,s2__visibility__cloud__freq__crossbattle,0.4935742577038681,0.5064257422961319,lower=damaged,140566.0,0.2481015048925551,0.005154639,0.011580382,1662
Bucha,s2__qa__cloud_freq__crossbattle,0.49361463805163064,0.5063853619483694,lower=damaged,140577.5,0.2980521036463897,0.0036107376,0.011620422,1662
Bucha,s2__visibility__smoke__freq__prebattle,0.4969732295851007,0.5030267704148993,lower=damaged,141534.0,0.5234704678577521,0.0017182131,0.003405995,1662
Bucha,s2__visibility__fire__freq__prebattle,0.5024298435349307,0.5024298435349307,higher=damaged,143088.0,0.41122095229338407,0.0017182131,0.00090826524,1662
Bucha,s2__obs_count__prebattle_baseline,0.49776327986741203,0.5022367201325879,lower=damaged,141759.0,0.09155465724648665,4.9948454,4.9993186,1662
Bucha,s2__obs_count__winter_baseline,0.49776327986741203,0.5022367201325879,lower=damaged,141759.0,0.09155465724648665,4.9948454,4.9993186,1662
Bucha,s2__obs_count__delta,0.5022367201325879,0.5022367201325879,higher=damaged,143033.0,0.09155465724648665,-3.9948454,-3.9993188,1662
Bucha,s2__visibility__clear__freq__prebattle,0.4987850782325347,0.5012149217674653,lower=damaged,142050.0,0.9177038712499224,0.97852236,0.97649866,1662
Bucha,s2__visibility__smoke__freq__postbattle,0.5003827354700975,0.5003827354700975,higher=damaged,142505.0,0.9186625920793328,0.0020618557,0.0020435967,1662
Bucha,s2__composite__b02__delta,0.5003686901317453,0.5003686901317453,higher=damaged,142501.0,0.9867285940802335,-0.1499488,-0.1396295,1662
Bucha,s2__visibility__fire__freq__postbattle,0.49984901261271386,0.5001509873872861,lower=damaged,142353.0,0.9575560177487021,0.0010309279,0.0014986376,1662
Bucha,s2__visibility__smoke__freq__crossbattle,0.5,0.5,higher=damaged,142396.0,1.0,0.0,0.0,1662
Bucha,s2__obs_count__post_winter_baseline,0.5,0.5,higher=damaged,142396.0,1.0,1.0,1.0,1662
Chernihiv,s2__composite__b02__prebattle_baseline,0.6410272767869348,0.6410272767869348,higher=damaged,562704.0,5.974709988348986e-18,0.16290393,0.15141217,2810
Chernihiv,s2__composite__b02__winter_baseline,0.6410272767869348,0.6410272767869348,higher=damaged,562704.0,5.974709988348986e-18,0.16290393,0.15141217,2810
Chernihiv,s2__composite__ndvi__prebattle_baseline,0.3688369772252955,0.6311630227747045,lower=damaged,323771.0,9.812209809388317e-16,0.11391758,0.13944347,2810
Chernihiv,s2__composite__ndvi__winter_baseline,0.3688369772252955,0.6311630227747045,lower=damaged,323771.0,9.812209809388317e-16,0.11391758,0.13944347,2810
Chernihiv,s2__composite__ndwi__prebattle_baseline,0.6301024360458228,0.6301024360458228,higher=damaged,553114.0,1.662143329424885e-15,-0.14156789,-0.16988516,2810
Chernihiv,s2__composite__ndwi__winter_baseline,0.6301024360458228,0.6301024360458228,higher=damaged,553114.0,1.662143329424885e-15,-0.14156789,-0.16988516,2810
Chernihiv,s2__composite__b03__prebattle_baseline,0.6295635987496241,0.6295635987496241,higher=damaged,552641.0,2.1690626660902102e-15,0.16958155,0.1589385,2810
Chernihiv,s2__composite__b03__winter_baseline,0.6295635987496241,0.6295635987496241,higher=damaged,552641.0,2.1690626660902102e-15,0.16958155,0.1589385,2810
Chernihiv,s2__composite__ndvi__post_winter_baseline,0.37824042851804934,0.6217595714819506,lower=damaged,332025.5,5.6029608356427075e-14,0.12353456,0.14716804,2810
