experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
D6_fusion,51293,11,11,0.6188741001172104,0.6168219393073836,0.6085960817183601,0.06283122322615625,0.010278018398850342
D3_clean,51293,11,11,0.6188740919224598,0.6168219393073836,0.6085960781625315,0.06283122261736512,0.010278013759928317
C2d_V4_RF50_groupkfold,63243,21,21,0.5460529816809632,0.5599070404210996,0.6077817997591712,0.13130699759459552,-0.06172881807820807
CLF_A17_XGBoost,598595,21,21,0.7443661757821636,0.7889686627816216,0.6065266423213007,0.13356201108407695,0.13783953346086286
E7_KNN_15,387066,15,15,0.5223960290992753,0.5223960290992753,0.6051086373585232,0.1373698959298316,-0.08271260825924787
NB08b_BDA_RGB+CARD_UISEM_voting,598595,21,21,0.5442330563770383,0.577532046664734,0.6041700000891154,0.15267760848563328,-0.05993694371207703
X_F3_fusion_card_cohdrop_ExtraTrees_Optuna,584986,20,20,0.6504577943958461,0.6408364938516282,0.6040430422764173,0.16318826434111108,0.046414752119428804
C10_leaky_A15_block_stats,63243,21,21,0.568848575629293,0.5522862283082471,0.6039432089800575,0.09753271276599709,-0.03509463335076446
C_A15_block_stats,63243,21,21,0.568848575629293,0.5522862283082471,0.6039432089800575,0.09753271276599709,-0.03509463335076446
R5_RF-200_dietrich28,63243,21,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.12090967531977836,-0.05744865291255741
R1_groupkfold,63243,21,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.12090967531977836,-0.05744865291255741
R0_dietrich28_faithful_groupkfold,63243,21,21,0.5454552817638035,0.5546563421863736,0.6029039346763609,0.12090967531977836,-0.05744865291255741
E7_KNN_5,387066,15,15,0.5895365735294607,0.5895365735294607,0.6020146888362568,0.11860527488364211,-0.0124781153067961
C10_leaky_A9_composite_prepost_bands,62043,19,19,0.6404817184968872,0.620245288774033,0.6013705639885973,0.09928961249006019,0.039111154508289836
B7_UISEM_card+coh+delta,62043,19,19,0.5140889003888436,0.5282438545084227,0.6013083577653701,0.1400931981869371,-0.08721945737652648
B7_UISEM_card+coh,62043,19,19,0.5140889003888436,0.5282438545084227,0.6013083577653701,0.1400931981869371,-0.08721945737652648
E1_base_XGB,387066,15,15,0.6572826497317478,0.6572826497317478,0.6007577531964172,0.15715317452252073,0.05652489653533055
