city,base,pre_col,post_col,rho_all,rho_damaged,rho_control,delta_rho
Avdiivka,s2__composite__ndre__min,s2__composite__ndre__prebattle_baseline__min,s2__composite__ndre__post_winter_baseline__min,0.4059733449379353,0.5527832382809721,0.36893401424305583,-0.18384922403791626
Avdiivka,s2__composite__ndre__p10,s2__composite__ndre__prebattle_baseline__p10,s2__composite__ndre__post_winter_baseline__p10,0.4076633363994794,0.5807496046074423,0.3690472010612424,-0.2117024035461999
Avdiivka,s2__composite__ndre__p50,s2__composite__ndre__prebattle_baseline__p50,s2__composite__ndre__post_winter_baseline__p50,0.39104395349162285,0.5939243830384051,0.3511533492281662,-0.2427710338102389
Avdiivka,s2__composite__ndre__p90,s2__composite__ndre__prebattle_baseline__p90,s2__composite__ndre__post_winter_baseline__p90,0.38511856058199573,0.5766912357136462,0.3488966115096679,-0.22779462420397834
Avdiivka,s2__composite__ndre__std,s2__composite__ndre__prebattle_baseline__std,s2__composite__ndre__post_winter_baseline__std,0.19193754752111392,0.2041419235474918,0.1903067660362994,-0.013835157511192409
Avdiivka,s2__composite__ndvi__max,s2__composite__ndvi__prebattle_baseline__max,s2__composite__ndvi__post_winter_baseline__max,0.363846160195616,0.6105182272961339,0.3279091284668193,-0.2826090988293146
Avdiivka,s2__composite__ndvi__mean,s2__composite__ndvi__prebattle_baseline__mean,s2__composite__ndvi__post_winter_baseline__mean,0.46876411795327716,0.701471158724001,0.42075049021128946,-0.28072066851271155
Avdiivka,s2__composite__ndvi__min,s2__composite__ndvi__prebattle_baseline__min,s2__composite__ndvi__post_winter_baseline__min,0.4554704308349541,0.5876077542032845,0.4084019706779118,-0.1792057835253727
Avdiivka,s2__composite__ndvi__p10,s2__composite__ndvi__prebattle_baseline__p10,s2__composite__ndvi__post_winter_baseline__p10,0.48353944007245,0.6310465220375399,0.43746918365619786,-0.193577338381342
Avdiivka,s2__composite__ndvi__p50,s2__composite__ndvi__prebattle_baseline__p50,s2__composite__ndvi__post_winter_baseline__p50,0.4562326195176164,0.6686461162006504,0.40976019525623386,-0.25888592094441654
Avdiivka,s2__composite__ndvi__p90,s2__composite__ndvi__prebattle_baseline__p90,s2__composite__ndvi__post_winter_baseline__p90,0.396280533941385,0.6601662893062,0.3539299821234252,-0.30623630718277484
Avdiivka,s2__composite__ndvi__std,s2__composite__ndvi__prebattle_baseline__std,s2__composite__ndvi__post_winter_baseline__std,0.3030012796357296,0.44112381009220847,0.2947499234658373,-0.14637388662637119
Avdiivka,s2__composite__ndwi__max,s2__composite__ndwi__prebattle_baseline__max,s2__composite__ndwi__post_winter_baseline__max,0.419927483593802,0.5475013708274594,0.3770644474599127,-0.17043692336754673
Avdiivka,s2__composite__ndwi__mean,s2__composite__ndwi__prebattle_baseline__mean,s2__composite__ndwi__post_winter_baseline__mean,0.43514928940844544,0.6242129450031332,0.39091833445615914,-0.23329461054697403
Avdiivka,s2__composite__ndwi__min,s2__composite__ndwi__prebattle_baseline__min,s2__composite__ndwi__post_winter_baseline__min,0.34841048416808695,0.6118587926352541,0.3097997122857877,-0.30205908034946644
Avdiivka,s2__composite__ndwi__p10,s2__composite__ndwi__prebattle_baseline__p10,s2__composite__ndwi__post_winter_baseline__p10,0.3689080431394863,0.6601265256184535,0.32462130738950895,-0.3355052182289446
Avdiivka,s2__composite__ndwi__p50,s2__composite__ndwi__prebattle_baseline__p50,s2__composite__ndwi__post_winter_baseline__p50,0.4291346690420587,0.6272865626212287,0.3833213902746397,-0.24396517234658904
Avdiivka,s2__composite__ndwi__p90,s2__composite__ndwi__prebattle_baseline__p90,s2__composite__ndwi__post_winter_baseline__p90,0.4339397439954095,0.5935364507176747,0.38936410098879987,-0.20417234972887482
