model_id,group,city,n_labeled,n_no_unosat,TP,FN,FP,TN
CLF_A17_LightGBM,buildings_v2,Kherson,9909,0,1,5,690,9213
CLF_A17_LightGBM,buildings_v2,Kramatorsk,10414,0,2,17,76,10319
CLF_A17_LightGBM,buildings_v2,Lysychansk,41600,0,871,200,33164,7365
CLF_A17_LightGBM,buildings_v2,Makariv,5554,0,0,53,0,5501
CLF_A17_LightGBM,buildings_v2,Mariupol,28973,0,1678,1377,13082,12836
CLF_A17_LightGBM,buildings_v2,Moschun,1248,0,13,60,182,993
CLF_A17_LightGBM,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
CLF_A17_LightGBM,buildings_v2,Okhtyrka,26456,0,15,20,2884,23537
CLF_A17_LightGBM,buildings_v2,Rubizhne,13609,0,334,97,10388,2790
CLF_A17_LightGBM,buildings_v2,Sievierodonetsk,9065,0,428,106,5773,2758
CLF_A17_LightGBM,buildings_v2,Trostianets,8737,0,0,18,641,8078
CLF_A17_LightGBM,buildings_v2,Volnovakha,13463,0,38,125,1243,12057
E6_B_nativeNaN_card+coh,buildings_v2,Avdiivka,12523,0,2,87,1,12433
E6_B_nativeNaN_card+coh,buildings_v2,Bucha,17215,0,87,71,1118,15939
E6_B_nativeNaN_card+coh,buildings_v2,Chernihiv,51375,0,112,221,8264,42778
E6_B_nativeNaN_card+coh,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E6_B_nativeNaN_card+coh,buildings_v2,Dmytrivka,13649,0,90,54,1371,12134
E6_B_nativeNaN_card+coh,buildings_v2,Hostomel,19145,0,219,292,2678,15956
E6_B_nativeNaN_card+coh,buildings_v2,Irpin,17365,0,130,119,2927,14189
E6_B_nativeNaN_card+coh,buildings_v2,Kharkiv,170104,0,0,238,0,169866
E6_B_nativeNaN_card+coh,buildings_v2,Kherson,9909,0,1,5,183,9720
E6_B_nativeNaN_card+coh,buildings_v2,Kramatorsk,10414,0,1,18,314,10081
E6_B_nativeNaN_card+coh,buildings_v2,Lysychansk,41600,0,659,412,29543,10986
E6_B_nativeNaN_card+coh,buildings_v2,Makariv,5554,0,0,53,0,5501
