classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
RF-200,fusion_composite_blockstats,max_depth,,10.0,,
RF-200,fusion_composite_blockstats,min_samples_leaf,3.0,11.0,8.0,2.6666666666666665
RF-200,fusion_composite_blockstats,min_samples_split,2.0,11.0,9.0,4.5
RF-200,fusion_composite_blockstats,max_features,sqrt,log2,,
XGBoost,fusion_composite_blockstats,n_estimators,200.0,734.0,534.0,2.67
XGBoost,fusion_composite_blockstats,max_depth,7.0,12.0,5.0,0.7142857142857143
XGBoost,fusion_composite_blockstats,learning_rate,0.1,0.010512649118874492,-0.08948735088112551,-0.894873508811255
XGBoost,fusion_composite_blockstats,min_child_weight,1.0,2.0,1.0,1.0
XGBoost,fusion_composite_blockstats,subsample,1.0,0.5581890006562221,-0.4418109993437779,-0.4418109993437779
XGBoost,fusion_composite_blockstats,colsample_bytree,1.0,0.6227818193697767,-0.3772181806302233,-0.3772181806302233
XGBoost,fusion_composite_blockstats,reg_alpha,0.0,0.21407953799342228,0.21407953799342228,
XGBoost,fusion_composite_blockstats,reg_lambda,1.0,1.7287662217436988,0.7287662217436988,0.7287662217436988
ExtraTrees,block_stats,n_estimators,200.0,576.0,376.0,1.88
ExtraTrees,block_stats,max_depth,,,,
ExtraTrees,block_stats,min_samples_leaf,3.0,9.0,6.0,2.0
ExtraTrees,block_stats,min_samples_split,2.0,3.0,1.0,0.5
ExtraTrees,block_stats,max_features,sqrt,log2,,
LightGBM,block_stats,n_estimators,200.0,763.0,563.0,2.815
LightGBM,block_stats,num_leaves,31.0,234.0,203.0,6.548387096774194
LightGBM,block_stats,max_depth,7.0,3.0,-4.0,-0.5714285714285714
LightGBM,block_stats,learning_rate,0.1,0.03118712563361772,-0.06881287436638228,-0.6881287436638228
LightGBM,block_stats,min_child_samples,20.0,81.0,61.0,3.05
LightGBM,block_stats,reg_alpha,0.0,0.8144820565771123,0.8144820565771123,
LightGBM,block_stats,reg_lambda,0.0,0.4328392105852525,0.4328392105852525,
